"link_id", "tab_id", "album_id","track_number", "tabbed"
"1","1","1","1","0"
"2","1","4","1","0"
"3","2","1","2","0"
"4","3","1","3","1"
"5","3","4","5","1"
"6","4","1","4","1"
"7","4","4","2","1"
"8","5","1","5","0"
"9","6","1","6","1"
"10","6","4","9","1"
"11","7","1","7","0"
"12","7","3","14","0"
"13","7","4","6","0"
"14","7","46","5","0"
"15","8","1","8","0"
"16","9","1","9","0"
"17","10","1","10","1"
"18","11","1","11","0"
"19","11","4","3","0"
"20","12","1","12","1"
"21","13","1","13","1"
"22","14","1","14","0"
"23","15","1","15","1"
"24","15","4","16","1"
"25","16","1","16","0"
"26","17","1","17","1"
"27","18","1","18","1"
"28","19","1","19","0"
"29","19","4","8","0"
"30","20","1","20","1"
"31","21","10","1","0"
"32","22","10","2","0"
"33","23","10","3","0"
"34","24","10","4","0"
"35","25","10","5","0"
"36","26","10","6","0"
"37","27","10","7","1"
"38","28","10","8","0"
"39","29","10","9","0"
"40","30","10","10","1"
"41","31","10","11","0"
"42","32","10","12","0"
"43","33","10","13","1"
"44","34","10","14","0"
"45","35","10","15","0"
"46","36","10","16","0"
"47","37","10","17","0"
"48","38","10","18","0"
"49","39","11","1","0"
"50","39","25","1","0"
"51","40","11","2","0"
"52","41","11","3","0"
"53","41","13","3","0"
"54","41","13","15","0"
"55","42","11","4","0"
"56","43","11","5","0"
"57","44","11","6","0"
"58","44","12","8","0"
"59","44","21","9","0"
"60","44","32","21","0"
"61","44","63","8","0"
"62","44","7","5","0"
"63","45","11","7","0"
"64","46","11","8","0"
"65","47","11","9","0"
"66","47","13","7","0"
"67","47","13","17","0"
"68","48","11","10","0"
"69","49","11","11","0"
"70","49","13","4","0"
"71","50","11","12","0"
"72","51","11","13","0"
"73","52","12","1","0"
"74","53","12","2","1"
"75","54","12","3","0"
"76","55","12","4","1"
"77","55","13","11","1"
"78","56","12","5","0"
"79","57","12","6","0"
"80","58","12","7","0"
"81","59","12","9","0"
"82","60","12","10","0"
"83","61","12","11","1"
"84","62","12","12","0"
"85","63","12","13","0"
"86","64","12","14","0"
"87","65","13","1","1"
"88","65","13","13","1"
"89","65","46","8","1"
"90","66","13","2","0"
"91","66","13","14","0"
"92","67","13","5","1"
"93","68","13","6","0"
"94","68","13","16","0"
"95","68","32","27","0"
"96","69","13","8","0"
"97","69","21","21","0"
"98","69","46","4","0"
"99","69","9","9","0"
"100","70","13","9","0"
"101","71","13","10","0"
"102","72","13","12","0"
"103","73","14","9","0"
"104","74","14","15","1"
"105","74","14","19","1"
"106","74","21","16","1"
"107","75","14","14","0"
"108","76","14","13","0"
"109","77","14","12","0"
"110","78","14","11","0"
"111","79","14","10","0"
"112","80","14","8","0"
"113","81","14","1","1"
"114","82","14","7","0"
"115","83","14","6","0"
"116","84","14","5","1"
"117","85","14","4","0"
"118","86","14","3","0"
"119","86","14","18","0"
"120","86","25","8","0"
"121","87","14","2","0"
"122","87","21","17","0"
"123","88","14","16","0"
"124","89","14","17","0"
"125","89","25","11","0"
"126","90","14","20","0"
"127","90","25","6","0"
"128","91","15","1","0"
"129","91","21","7","0"
"130","92","15","2","0"
"131","92","21","2","0"
"132","93","15","3","0"
"133","93","21","13","0"
"134","94","15","4","0"
"135","95","15","5","1"
"136","95","21","5","1"
"137","96","15","6","0"
"138","96","21","1","0"
"139","97","15","7","0"
"140","98","15","8","1"
"141","98","21","22","1"
"142","99","15","9","0"
"143","100","15","10","0"
"144","101","15","11","1"
"145","101","22","10","1"
"146","101","63","5","1"
"147","102","15","12","0"
"148","103","15","13","0"
"149","103","21","4","0"
"150","103","63","4","0"
"151","104","15","14","0"
"152","105","15","15","0"
"153","106","15","16","0"
"154","107","15","17","0"
"155","108","15","18","0"
"156","108","63","12","0"
"157","109","16","1","0"
"158","110","16","2","0"
"159","111","16","3","0"
"160","112","16","4","0"
"161","113","16","5","1"
"162","114","16","6","0"
"163","115","16","7","0"
"164","116","16","8","0"
"165","117","16","9","0"
"166","118","16","10","0"
"167","119","16","11","0"
"168","120","16","12","0"
"169","121","16","13","0"
"170","122","16","14","0"
"171","123","16","15","1"
"172","124","17","1","1"
"173","125","17","2","1"
"174","125","46","2","1"
"175","126","17","3","1"
"176","127","17","4","0"
"177","127","46","9","0"
"178","128","17","5","0"
"179","128","46","3","0"
"180","129","17","6","1"
"181","130","17","7","0"
"182","131","17","8","0"
"183","132","17","9","1"
"184","133","17","10","0"
"185","134","17","11","0"
"186","135","17","12","0"
"187","136","18","1","1"
"188","136","63","6","1"
"189","137","18","2","0"
"190","137","22","13","0"
"191","137","46","7","0"
"192","138","18","3","1"
"193","139","18","4","1"
"194","140","18","5","1"
"195","141","18","6","1"
"196","142","18","7","1"
"197","143","18","8","1"
"198","144","18","9","1"
"199","145","18","10","1"
"200","146","18","11","1"
"201","147","18","12","1"
"202","148","18","13","1"
"203","148","22","14","1"
"204","149","18","14","1"
"205","149","22","12","1"
"206","150","19","1","0"
"207","151","19","2","1"
"208","152","19","3","0"
"209","153","19","4","0"
"210","154","19","5","0"
"211","155","19","6","0"
"212","155","2","12","0"
"213","156","19","7","1"
"214","157","19","8","0"
"215","158","19","9","0"
"216","159","19","10","0"
"217","160","19","11","0"
"218","161","2","1","1"
"219","162","2","2","1"
"220","163","2","3","1"
"221","164","2","4","0"
"222","165","2","5","1"
"223","166","2","6","1"
"224","167","2","7","1"
"225","167","21","12","1"
"226","167","22","2","1"
"227","168","2","8","1"
"228","169","2","9","1"
"229","170","2","10","0"
"230","171","2","11","0"
"231","172","2","13","0"
"232","173","2","14","0"
"233","174","2","15","0"
"234","175","2","16","0"
"235","176","2","17","0"
"236","177","2","18","0"
"237","177","4","14","0"
"238","178","20","1","0"
"239","179","20","2","0"
"240","180","20","3","0"
"241","181","20","4","0"
"242","182","20","5","0"
"243","183","20","6","1"
"244","184","20","6","1"
"245","185","20","7","0"
"246","186","20","8","0"
"247","187","20","9","0"
"248","187","46","6","0"
"249","188","20","10","0"
"250","189","20","11","0"
"251","190","21","3","0"
"252","191","21","6","0"
"253","192","21","8","0"
"254","192","8","10","0"
"255","193","21","10","0"
"256","194","21","11","0"
"257","195","21","14","0"
"258","195","8","12","0"
"259","196","21","15","1"
"260","196","46","10","1"
"261","196","8","3","1"
"262","197","21","18","0"
"263","198","21","19","0"
"264","199","21","20","0"
"265","200","22","15","0"
"266","201","22","16","0"
"267","202","22","17","0"
"268","203","22","18","0"
"269","204","22","19","1"
"270","205","22","20","0"
"271","206","22","21","1"
"272","207","22","22","1"
"273","208","22","11","0"
"274","208","63","10","0"
"275","209","22","1","0"
"276","210","22","3","0"
"277","211","22","4","0"
"278","212","22","5","0"
"279","213","22","6","0"
"280","213","63","7","0"
"281","214","22","7","0"
"282","215","22","8","0"
"283","215","63","2","0"
"284","216","22","9","0"
"285","217","25","2","0"
"286","218","25","3","0"
"287","219","25","4","0"
"288","220","25","5","0"
"289","221","25","7","0"
"290","221","25","12","0"
"291","222","25","9","0"
"292","223","25","10","0"
"293","224","3","1","0"
"294","224","4","4","0"
"295","225","3","2","1"
"296","225","4","12","1"
"297","226","3","3","0"
"298","226","4","13","0"
"299","227","3","4","0"
"300","228","3","5","1"
"301","228","4","20","1"
"302","229","3","6","0"
"303","230","3","7","1"
"304","231","3","8","0"
"305","232","3","9","0"
"306","233","3","10","0"
"307","234","3","11","1"
"308","235","3","12","0"
"309","236","3","13","0"
"310","237","3","15","0"
"311","238","3","16","0"
"312","239","3","17","0"
"313","240","3","18","0"
"314","240","4","21","0"
"315","241","32","1","1"
"316","242","32","2","0"
"317","243","32","8","0"
"318","244","32","3","0"
"319","245","32","4","0"
"320","246","32","5","0"
"321","247","32","6","0"
"322","248","32","7","1"
"323","249","32","9","0"
"324","250","32","10","0"
"325","251","32","11","0"
"326","252","32","13","0"
"327","253","32","14","0"
"328","254","32","15","1"
"329","255","32","16","1"
"330","256","32","17","0"
"331","257","32","18","0"
"332","258","32","19","1"
"333","259","32","20","0"
"334","260","32","12","0"
"335","261","32","22","0"
"336","262","32","23","0"
"337","263","32","24","0"
"338","264","32","25","0"
"339","265","32","29","0"
"340","265","8","9","0"
"341","266","32","31","0"
"342","267","32","30","0"
"343","268","32","28","0"
"344","269","32","26","1"
"345","270","32","32","0"
"346","271","32","33","1"
"347","272","34","1","0"
"348","273","34","2","0"
"349","274","34","3","0"
"350","275","34","4","0"
"351","276","34","5","0"
"352","277","34","6","0"
"353","278","34","7","0"
"354","279","34","8","0"
"355","280","34","9","0"
"356","281","34","10","0"
"357","282","34","11","0"
"358","283","34","12","1"
"359","284","34","13","0"
"360","285","34","14","0"
"361","286","34","15","0"
"362","287","4","7","0"
"363","288","4","10","0"
"364","289","4","11","0"
"365","290","4","15","0"
"366","291","4","17","0"
"367","292","4","18","0"
"368","293","4","19","0"
"369","294","46","1","0"
"370","295","46","11","0"
"371","296","46","12","0"
"372","296","7","2","0"
"373","297","5","1","0"
"374","297","6","1","0"
"375","298","5","2","0"
"376","298","6","3","0"
"377","299","5","3","0"
"378","300","5","4","0"
"379","300","6","2","0"
"380","301","5","5","0"
"381","301","6","4","0"
"382","302","5","6","0"
"383","302","6","7","0"
"384","303","5","7","0"
"385","303","6","11","0"
"386","304","5","8","0"
"387","304","6","12","0"
"388","305","5","9","0"
"389","305","6","10","0"
"390","306","5","10","0"
"391","307","5","11","0"
"392","308","5","12","0"
"393","308","6","15","0"
"394","309","5","13","0"
"395","310","5","14","0"
"396","311","5","15","0"
"397","312","5","16","0"
"398","312","6","8","0"
"399","313","5","17","0"
"400","313","6","16","0"
"401","314","5","18","0"
"402","314","6","17","0"
"403","315","54","1","0"
"404","316","54","2","0"
"405","317","54","3","0"
"406","318","54","4","0"
"407","319","54","5","0"
"408","320","54","6","0"
"409","321","54","7","0"
"410","322","54","8","0"
"411","323","54","9","0"
"412","324","54","10","0"
"413","325","54","11","0"
"414","326","54","12","0"
"415","327","54","13","0"
"416","328","54","14","1"
"417","329","54","15","0"
"418","330","6","5","0"
"419","331","6","6","1"
"420","332","6","9","0"
"421","333","6","13","0"
"422","334","6","14","0"
"423","335","63","1","0"
"424","336","63","3","0"
"425","337","63","9","1"
"426","338","63","11","0"
"427","339","7","1","0"
"428","340","7","3","1"
"429","341","7","4","1"
"430","342","7","6","0"
"431","343","7","7","0"
"432","344","7","8","1"
"433","345","7","9","0"
"434","346","7","10","0"
"435","347","7","11","0"
"436","348","7","12","1"
"437","349","7","13","0"
"438","350","7","14","0"
"439","351","7","15","0"
"440","352","7","16","0"
"441","353","7","17","0"
"442","354","7","18","0"
"443","355","7","19","0"
"444","356","7","20","1"
"445","357","8","1","0"
"446","358","8","2","0"
"447","359","8","4","0"
"448","360","8","5","0"
"449","361","8","6","1"
"450","362","8","7","0"
"451","363","8","8","0"
"452","364","8","11","0"
"453","365","8","13","0"
"454","366","8","14","0"
"455","367","8","15","0"
"456","368","9","1","1"
"457","369","9","2","0"
"458","370","9","3","1"
"459","371","9","4","0"
"460","372","9","5","0"
"461","373","9","6","0"
"462","374","9","7","0"
"463","375","9","8","0"
