"id","name","released","featuring","permalink"
"1","Songs of Pain","1981-01-01 00:00:00","","songs-of-pain"
"2","Don't Be Scared","1982-01-01 00:00:00","","don-t-be-scared"
"3","The What of Whom","1982-01-01 00:00:00","","the-what-of-whom"
"4","Ugly Music","1982-01-01 00:00:00","","ugly-music"
"5","Someday You're Gonna Make It, Joe","1983-01-01 00:00:00","","someday-you-re-gonna-make-it-joe"
"6","More Songs of Pain","1983-01-01 00:00:00","","more-songs-of-pain"
"7","Yip/Jump Music","1983-01-01 00:00:00","","yip-jump-music"
"8","Hi, How Are You","1983-01-01 00:00:00","","hi-how-are-you"
"9","Retired Boxer","1984-01-01 00:00:00","","retired-boxer"
"10","Respect","1985-01-01 00:00:00","","respect"
"11","Merry Christmas","1988-01-01 00:00:00","","merry-christmas"
"12","Continued Story","1985-01-01 00:00:00","","continued-story"
"13","1990","1990-01-01 00:00:00","","1990"
"14","Artistic Vice","1991-01-01 00:00:00","","artistic-vice"
"15","Fun","1994-01-01 00:00:00","","fun"
"16","Rejected Unknown","2001-01-01 00:00:00","","rejected-unknown"
"17","Fear Yourself with Mark Linkous","2003-01-01 00:00:00","","fear-yourself-with-mark-linkous"
"18","Lost and Found","2006-01-01 00:00:00","","lost-and-found"
"19","Is and Always Was","2009-01-01 00:00:00","","is-and-always-was"
"20","Space Ducks","2012-01-01 00:00:00","","space-ducks"
"21","Frankenstein Love","1998-01-01 00:00:00","","frankenstein-love"
"22","Why Me?","2000-01-01 00:00:00","","why-me-"
"23","The River of No Return","1991-01-01 00:00:00","","the-river-of-no-return"
"24","Big Big World recorded 1986","1986-01-01 00:00:00","","big-big-world-recorded-1986"
"25","Laurie","1992-01-01 00:00:00","","laurie"
"26","Happy Time","1994-01-01 00:00:00","","happy-time"
"27","Dream Scream","1998-01-01 00:00:00","","dream-scream"
"28","Impossible Love","2001-01-01 00:00:00","","impossible-love"
"29","Sinning Is Easy","2002-01-01 00:00:00","","sinning-is-easy"
"30","Mountain Top","2003-01-01 00:00:00","","mountain-top"
"31","Fish","2003-01-01 00:00:00","","fish"
"32","It's Spooky","1989-01-01 00:00:00","","it-s-spooky"
"33","Speeding Motorcycle single","1990-01-01 00:00:00","","speeding-motorcycle-single"
"34","Danny and the Nightmares","1999-01-01 00:00:00","","danny-and-the-nightmares"
"35","Hyperjinx Tricycle","2000-01-01 00:00:00","","hyperjinx-tricycle"
"36","The Lucky Sperms Somewhat Humorous","2001-01-01 00:00:00","","the-lucky-sperms-somewhat-humorous"
"37","Danny and the Nightmares Natzi single","2001-01-01 00:00:00","","danny-and-the-nightmares-natzi-single"
"38","Long Lost Love single","2002-01-01 00:00:00","","long-lost-love-single"
"39","Don't Fall in Love with Everyone You See","2002-01-01 00:00:00","","don-t-fall-in-love-with-everyone-you-see"
"40","Alien Mind Control 3 CD","2003-01-01 00:00:00","","alien-mind-control-3-cd"
"41","Danny and the Nightmares The End Is Near Again","2003-01-01 00:00:00","","danny-and-the-nightmares-the-end-is-near-again"
"42","Rin Tin Soldier","2003-01-01 00:00:00","","rin-tin-soldier"
"43","Danny and the Nightmares Freak Brain","2005-01-01 00:00:00","","danny-and-the-nightmares-freak-brain"
"44","The Electric Ghosts","2006-01-01 00:00:00","","the-electric-ghosts"
"45","Danny and the Nightmares Red Hot Sex","2007-01-01 00:00:00","","danny-and-the-nightmares-red-hot-sex"
"46","Beam Me Up!","2010-01-01 00:00:00","","beam-me-up"
"47","Danny and the Nightmares The Death of Satan","2013-01-01 00:00:00","","danny-and-the-nightmares-the-death-of-satan"
"48","The Lost Recordings","1983-01-01 00:00:00","","the-lost-recordings"
"49","The Lost Recordings II","1983-01-01 00:00:00","","the-lost-recordings-ii"
"50","A Texas Trip","1987-01-01 00:00:00","","a-texas-trip"
"51","Please Don't Feed The Ego","1994-01-01 00:00:00","","please-don-t-feed-the-ego"
"52","Dead Dog's Eyeball","1994-01-01 00:00:00","","dead-dog-s-eyeball"
"53","My So-Called Life","1995-01-01 00:00:00","","my-so-called-life"
"54","Schoolhouse Rock! Rocks","1996-01-01 00:00:00","","schoolhouse-rock-rocks"
"55","The Sun Shines Down On Me by Gerry Nobody","2003-01-01 00:00:00","","the-sun-shines-down-on-me-by-gerry-nobody"
"56","The Late Great Daniel Johnston Discovered Covered","2004-01-01 00:00:00","","the-late-great-daniel-johnston-discovered-covered"
"57","White Magic From The Cassette Archives 1979–1989","1979-01-01 00:00:00","","white-magic-from-the-cassette-archives-1979–1989"
"58","I Killed the Monster 21 Artists Performing the Songs of Daniel Johnston","2006-01-01 00:00:00","","i-killed-the-monster-21-artists-performing-the-songs-of-daniel-johnston"
"59","Apskaft Tribute To Daniel Johnston","2011-01-01 00:00:00","","apskaft-tribute-to-daniel-johnston"
"60","50minutes","2006-01-01 00:00:00","","50minutes"
"61","Welcome To My World","2006-01-01 00:00:00","","welcome-to-my-world"
"62","My Yoke Is Heavy The Songs of Daniel Johnston","2013-01-01 00:00:00","","my-yoke-is-heavy-the-songs-of-daniel-johnston"
"63","Echo Lounge, Atlanta, GA, Oct 17, 1999","1999-01-01 00:00:00","","echo-lounge-atlanta-ga-oct-17-1999"
